"insult_slugs","quotes_vec","tweet","tweet_link","date"
"cnn","paid a fortune for an Iowa Poll, which shows me in first place over Cruz by 13%, 33% to 20% - then doesn't use it","Isn't it amazing that @CNN paid a fortune for an Iowa Poll, which shows me in first place over Cruz by 13%, 33% to 20% - then doesn't use it","https://twitter.com/realDonaldTrump/status/676775704743186433",2015-12-15 14:47:56
"cnn","so sad","So sad that @CNN and many others refused to show the massive crowd at the arena yesterday in Oklahoma. Dishonest reporting!","https://twitter.com/realDonaldTrump/status/690173226341691392",2016-01-21 14:04:54
"cnn","dishonest reporting","So sad that @CNN and many others refused to show the massive crowd at the arena yesterday in Oklahoma. Dishonest reporting!","https://twitter.com/realDonaldTrump/status/690173226341691392",2016-01-21 14:04:54
"cnn","really one-sided and unfair reporting","Wow, @CNN has nothing but my opponents on their shows. Really one-sided and unfair reporting. Maybe I shouldn't do their town-hall tonight!","https://twitter.com/realDonaldTrump/status/714807977052610569",2016-03-29 13:34:36
"cnn","so negative it is impossible to watch",".@CNN is so negative it is impossible to watch. Terrible panel, angry haters. Bill O @oreillyfactor said such an amazing thing about me!","https://twitter.com/realDonaldTrump/status/722589315923054592",2016-04-20 00:54:52
"cnn","Terrible panel",".@CNN is so negative it is impossible to watch. Terrible panel, angry haters. Bill O @oreillyfactor said such an amazing thing about me!","https://twitter.com/realDonaldTrump/status/722589315923054592",2016-04-20 00:54:52
"cnn","angry haters",".@CNN is so negative it is impossible to watch. Terrible panel, angry haters. Bill O @oreillyfactor said such an amazing thing about me!","https://twitter.com/realDonaldTrump/status/722589315923054592",2016-04-20 00:54:52
"cnn","working hard to make me look as bad as possible","Wow, @CNN is really working hard to make me look as bad as possible. Very unprofessional. Hurting in ratings - bad television!","https://twitter.com/realDonaldTrump/status/731503361774768129",2016-05-14 15:16:06
"cnn","Very unprofessional","Wow, @CNN is really working hard to make me look as bad as possible. Very unprofessional. Hurting in ratings - bad television!","https://twitter.com/realDonaldTrump/status/731503361774768129",2016-05-14 15:16:06
"cnn","bad television!","Wow, @CNN is really working hard to make me look as bad as possible. Very unprofessional. Hurting in ratings - bad television!","https://twitter.com/realDonaldTrump/status/731503361774768129",2016-05-14 15:16:06
"cnn","I no longer watch","A political commentator for @cnn, which I no longer watch, said ""Trump showed some weakness in the Repub Primaries."" I set all-time record!","https://twitter.com/realDonaldTrump/status/732200012457906176",2016-05-16 13:24:21
"cnn","Don't watch CNN!","I can't believe that @CNN would allow the very nice Jeffrey Lord to be savaged by a panel of seven Trump haters. 7 to 1 - Don't watch CNN!","https://twitter.com/realDonaldTrump/status/732749934903087104",2016-05-18 01:49:32
"cnn","so negative, getting even worse",".@CNN is so negative, getting even worse as I get closer. Just had two anti-Trump losers with zero rebuttal from my team. Turning off!","https://twitter.com/realDonaldTrump/status/734053246734499840",2016-05-21 16:08:26
"cnn","Clinton News Network","The Clinton News Network, sometimes referred to as @CNN, is getting more and more biased.They act so indignant-hear them behind closed doors","https://twitter.com/realDonaldTrump/status/739571700392722432",2016-06-05 21:36:48
"cnn","getting more and more biased","The Clinton News Network, sometimes referred to as @CNN, is getting more and more biased.They act so indignant-hear them behind closed doors","https://twitter.com/realDonaldTrump/status/739571700392722432",2016-06-05 21:36:48
"cnn","so biased","I am watching @CNN very little lately because they are so biased against me. Shows are predictable garbage! CNN and MSM is one big lie!","https://twitter.com/realDonaldTrump/status/739576535561162752",2016-06-05 21:56:01
"cnn","Shows are predictable garbage!","I am watching @CNN very little lately because they are so biased against me. Shows are predictable garbage! CNN and MSM is one big lie!","https://twitter.com/realDonaldTrump/status/739576535561162752",2016-06-05 21:56:01
"cnn","one big lie!","I am watching @CNN very little lately because they are so biased against me. Shows are predictable garbage! CNN and MSM is one big lie!","https://twitter.com/realDonaldTrump/status/739576535561162752",2016-06-05 21:56:01
"cnn","totally biased","CNN, which is totally biased in favor of Clinton, should apologize. They knew they were wrong. https://t.co/KR7OnS8h6s","https://twitter.com/realDonaldTrump/status/746063926597672960",2016-06-23 19:34:35
"cnn","Clinton News Network","Here is another CNN lie. The Clinton News Network is losing all credibility. Iâ€™m not watching it much anymore. https://t.co/pNSgSjD5gW","https://twitter.com/realDonaldTrump/status/746064216373731328",2016-06-23 19:35:45
"cnn","losing all credibility","Here is another CNN lie. The Clinton News Network is losing all credibility. Iâ€™m not watching it much anymore. https://t.co/pNSgSjD5gW","https://twitter.com/realDonaldTrump/status/746064216373731328",2016-06-23 19:35:45
"cnn","all negative when it comes to me",".@CNN is all negative when it comes to me. I don't watch it anymore.","https://twitter.com/realDonaldTrump/status/747424042181791744",2016-06-27 13:39:12
"cnn","I don't watch it anymore",".@CNN is all negative when it comes to me. I don't watch it anymore.","https://twitter.com/realDonaldTrump/status/747424042181791744",2016-06-27 13:39:12
"cnn","softball questions","Isn't it sad that on a day of national tragedy Hillary Clinton is answering softball questions about her email lies on @CNN?","https://twitter.com/realDonaldTrump/status/751529041988116485",2016-07-08 21:31:01
"cnn","few people are watching","I heard that the underachieving John King of @CNN on Inside Politics was one hour of lies. Happily, few people are watching - dead network!","https://twitter.com/realDonaldTrump/status/752215352122208256",2016-07-10 18:58:10
